reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion;;;;;
"0ae499c6-a7a2-4382-aac1-1fc66364849c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""dokter nya ga mengulur waktu, langsung satset. ga kaya app lain yg dokter nya bru bals wktu udh mendekati akhir sesi"",5,0,v2.5.3,2024-09-02 22:53:18,,,v2.5.3";;;;;
0a668bf7-42cd-4a69-8fc3-e20fc9ddb802,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,terimakasih banyak atas informasinya,5,0,v2.5.3,2024-08-31 17:43:16,,,v2.5.3;;;;;
b471a941-78b9-40ad-94af-a3d6668dbc59,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Menyesal aku konsultasi diaplikasi ini Udah bayar tapi gagal menghubungkan Udah gitu uang tidak kembali keshopeepay malah jd voucher mana vouchernya gak bisa dipakai selain kedokter spesialis KALIAN JANGAN COBA COBA DEH INSTAL APLIKASI INI MENDING ALODOKTER,1,0,v2.5.3,2024-08-30 01:45:35,,,v2.5.3;;;;;
af760749-d151-4225-8f4c-46cb32b1fc40,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Aplikasi dalam pembayaran ngebug saya udah bayar tapi malah ngebug trus proses pengembalian dana butuh waktu lama 5 menit aja nggak ada butuh waktu beberapa jam,1,1,v2.5.3,2024-08-20 05:23:27,,,v2.5.3;;;;;
"ea1494a9-37e5-4265-8248-e3bd7deb84e3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Aplikasi ini sangat tidak membantu ,dokternya pelit ilmu,durasi sedikit tidak mau menjelaskan dengan panjang. Dokternya tidak rekomendasi"",1,0,,2024-08-10 15:49:36,,,";;;;;
f68c141d-4f20-47b4-8c19-74aeb66ce82a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Blm dibuka,5,0,,2024-07-30 15:39:15,,,;;;;;
"76fa2340-079c-4a3a-ba6d-0f91fc67d53f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Tidak mendapatkan otp,1,0,v2.5.3,2024-07-29 08:45:09,""Dear Nanda, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-07-29 09:00:50,v2.5.3";;;;;
"51eb7323-5121-4b41-bf53-9e6153e02c1e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sampah,1,0,,2024-07-29 07:38:14,""Dear Akhon Wandy, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-07-29 07:58:31,";;;;;
"4cab2388-572b-4251-8983-d89a0fc08d21,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,""Aplikasinya parah jelek banget, udah dibayar aplikasinya malah ngebug ga bisa kebuka-buka. Jiirrr kembalikan uangkuu, aku ga ikhlass"",1,3,v2.5.3,2024-07-25 17:38:52,""Dear Dhea Arisa, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu"",2024-07-25 18:18:43,v2.5.3";;;;;
"9b44b8e4-18ef-4ed3-b288-ded9649861ee,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sesuai dengan apa yang saya alami Konsul secara online Bagus cepat respon di jelaskan dengan detail dengan dokter umum nya ( bagus dan pengalaman juga saya lihat dari jam terbang nya menjadi dokter ) Terimakasih Klik Dokter,5,0,,2024-07-12 15:24:03,""Dear Liz Veliza, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu"",2024-07-12 15:45:56,";;;;;
