Word,POS Tag,Frequency
.,PUNCT,817
membantu,VERB,316
sangat,ADV,257
dokter,NOUN,152
dan,CONJ,152
Sangat,ADV,143
ini,DET,134
aplikasi,NOUN,111
sekali,ADV,109
Bagus,PROPN,108
saya,PRON,106
bagus,ADJ,94
nya,NOUN,83
di,ADP,68
bisa,ADV,67
yang,PRON,64
Sangat,PROPN,63
untuk,ADP,63
kesehatan,NOUN,63
kasih,NOUN,60
yg,ADV,55
dengan,ADP,54
Aplikasi,NOUN,54
cepat,ADJ,53
bermanfaat,VERB,52
.,PROPN,50
Good,PROPN,46
baik,ADJ,43
Saya,PRON,40
bermanfaat,ADJ,40
banget,NOUN,39
dokternya,NOUN,38
respon,NOUN,37
klik,NOUN,35
Ok,PROPN,35
suka,VERB,32
ramah,ADJ,29
ada,VERB,28
Mantap,PROPN,28
konsultasi,NOUN,27
buat,ADP,27
juga,ADV,25
kita,PRON,25
lagi,ADV,24
terima,VERB,23
tidak,X,23
ya,X,23
Dokter,PROPN,22
penyakit,NOUN,22
banyak,ADV,22
yg,NOUN,22
chat,VERB,21
bintang,NOUN,20
?,PUNCT,19
Keren,PROPN,19
ke,ADP,18
semua,DET,18
ramah,VERB,18
bagi,ADP,18
good,PROPN,18
terus,ADV,18
langsung,ADJ,17
lebih,ADV,17
tapi,CONJ,17
konsultasi,VERB,16
info,NOUN,16
orang,NOUN,16
chat,NOUN,16
aplikasinya,NOUN,16
terimakasih,ADV,15
tentang,ADP,15
atas,ADP,15
-,PUNCT,15
memuaskan,VERB,14
dalam,ADP,14
dari,ADP,14
cukup,ADV,14
aku,PRON,14
ok,NOUN,14
sama,ADJ,13
informasi,NOUN,13
selalu,ADV,13
aja,NOUN,13
jam,NOUN,12
apa,NOUN,12
dgn,NOUN,12
Terima,ADP,12
berkonsultasi,VERB,12
jelas,ADJ,12
mengetahui,VERB,11
keluhan,NOUN,11
Suka,PROPN,11
apk,PROPN,11
!,PUNCT,11
&,PROPN,11
5,NUM,11
sehat,ADJ,10
bayar,NOUN,10
saran,NOUN,10
sudah,ADV,10
Bermanfaat,VERB,10
download,NOUN,10
sakit,ADJ,10
mau,ADV,9
Respon,NOUN,9
sukses,ADJ,9
mudah,ADJ,9
dapat,ADV,9
tau,VERB,9
24,NUM,9
mengenai,ADP,9
berguna,VERB,9
