reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt;appVersion;sentiment_polarity;sentiment_subjective;wordCount;uppercaseCharCount;specialCharCount;sentiment_rating;content_without_stopwords
0ae499c6-a7a2-4382-aac1-1fc66364849c;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;dokter nya ga mengulur waktu, langsung satset. ga kaya app lain yg dokter nya bru bals wktu udh mendekati akhir sesi;5;0;v2.5.3;02/09/2024 22:53;;;v2.5.3;0.0;0.0;21;0;2;Positive;dokter nya ga mengulur waktu, langsung satset. ga kaya app yg dokter nya bru bals wktu udh mendekati sesi
0a668bf7-42cd-4a69-8fc3-e20fc9ddb802;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;terimakasih banyak atas informasinya;5;0;v2.5.3;31/08/2024 17:43;;;v2.5.3;0.0;0.0;4;0;0;Positive;terimakasih informasinya
b471a941-78b9-40ad-94af-a3d6668dbc59;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;menyesal aku konsultasi diaplikasi ini udah bayar tapi gagal menghubungkan udah gitu uang tidak kembali keshopeepay malah jd voucher mana vouchernya gak bisa dipakai selain kedokter spesialis kalian jangan coba coba deh instal aplikasi ini mending alodokter;1;0;v2.5.3;30/08/2024 01:45;;;v2.5.3;0.0;0.0;37;0;0;Negative;menyesal konsultasi diaplikasi udah bayar gagal menghubungkan udah gitu uang keshopeepay jd voucher vouchernya gak dipakai kedokter spesialis coba coba deh instal aplikasi mending alodokter
af760749-d151-4225-8f4c-46cb32b1fc40;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;aplikasi dalam pembayaran ngebug saya udah bayar tapi malah ngebug trus proses pengembalian dana butuh waktu lama 5 menit aja nggak ada butuh waktu beberapa jam;1;1;v2.5.3;20/08/2024 05:23;;;v2.5.3;0.0;0.0;26;0;0;Negative;aplikasi pembayaran ngebug udah bayar ngebug trus proses pengembalian dana butuh 5 menit aja nggak butuh jam
ea1494a9-37e5-4265-8248-e3bd7deb84e3;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;aplikasi ini sangat tidak membantu ,dokternya pelit ilmu,durasi sedikit tidak mau menjelaskan dengan panjang. dokternya tidak rekomendasi;1;0;;10/08/2024 15:49;;;;0.0;0.0;17;0;3;Negative;aplikasi membantu ,dokternya pelit ilmu,durasi panjang. dokternya rekomendasi
f68c141d-4f20-47b4-8c19-74aeb66ce82a;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;blm dibuka;5;0;;30/07/2024 15:39;;;;0.0;0.0;2;0;0;Positive;blm dibuka
76fa2340-079c-4a3a-ba6d-0f91fc67d53f;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;tidak mendapatkan otp;1;0;v2.5.3;29/07/2024 08:45;Dear Nanda, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu;29/07/2024 09:00;v2.5.3;0.0;0.0;3;0;0;Negative;otp
51eb7323-5121-4b41-bf53-9e6153e02c1e;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;sampah;1;0;;29/07/2024 07:38;Dear Akhon Wandy, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu;29/07/2024 07:58;;0.0;0.0;1;0;0;Negative;sampah
4cab2388-572b-4251-8983-d89a0fc08d21;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;aplikasinya parah jelek banget, udah dibayar aplikasinya malah ngebug ga bisa kebuka-buka. jiirrr kembalikan uangkuu, aku ga ikhlass;1;3;v2.5.3;25/07/2024 17:38;Dear Dhea Arisa, mohon maaf atas ketidaknyamanannya. Ulasan kamu sangat membantu kami untuk memperbaiki pelayanan kami kedepannya. Jika berkenan silakan hubungi layanan Customer Care melalui WhatsApp 0811800629 yang bisa diakses 24 jam untuk membahas lebih lanjut ulasan kamu. #JagaSehatmu;25/07/2024 18:18;v2.5.3;0.0;0.0;18;0;4;Negative;aplikasinya parah jelek banget, udah dibayar aplikasinya ngebug ga kebuka-buka. jiirrr kembalikan uangkuu, ga ikhlass
9b44b8e4-18ef-4ed3-b288-ded9649861ee;Pengguna Google;https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g;sesuai dengan apa yang saya alami konsul secara online bagus cepat respon di jelaskan dengan detail dengan dokter umum nya ( bagus dan pengalaman juga saya lihat dari jam terbang nya menjadi dokter ) terimakasih klik dokter;5;0;;12/07/2024 15:24;Dear Liz Veliza, terima kasih sudah menggunakan aplikasi KlikDokter untuk solusi kesehatan kamu. Jika ada pertanyaan, hubungi Customer Care via WhatsApp 0811800629 yang bisa diakses setiap hari selama 24 jam. #JagaSehatmu;12/07/2024 15:45;;0.0;0.0;37;0;2;Positive;sesuai alami konsul online bagus cepat respon detail dokter nya ( bagus pengalaman lihat jam terbang nya dokter ) terimakasih klik dokter
